,Corp ID,Corp Name,School ID,School Name,County,SC 2016,SpecEd 2016,SpecEd Perc,Enrollment 2016,District ID,District
167,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,5310,Franklin Township Community School Corporation
168,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,5385,Indianapolis Public Schools
169,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,665,Lebanon Community School Corporation
170,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,5300,M S D Decatur Township
171,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,5340,M S D Perry Township
172,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,7365,Shelbyville Central Schools
173,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,3115,Southern Hancock County Community School Corporation
174,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,365,Bartholomew Consolidated School Corporation
175,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5380,Beech Grove City Schools
176,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,670,Brown County School Corporation
177,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,4205,Center Grove Community School Corporation
178,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,4145,Clark-Pleasant Community School Corporation
179,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,3145,Eastern Hancock County Community School Corporation
180,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,4225,Franklin Community School Corporation
181,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5310,Franklin Township Community School Corporation
182,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,4245,Greenwood Community School Corporation
183,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5385,Indianapolis Public Schools
184,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,665,Lebanon Community School Corporation
185,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5300,M S D Decatur Township
186,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5340,M S D Perry Township
187,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5360,M S D Warren Township
188,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5375,M S D Wayne Township
189,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,5930,Mooresville Consolidated School Corporation
190,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,4255,Nineveh-Hensley-Jackson United Corporation
191,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,7350,Northwestern Consolidated School Corporation
192,9200,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,342.0,99.0,8.36,1184.0,7285,Shelby Eastern Schools
