,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,Corp ID,Corp Name,SpecEd 2016,SpecEd Perc,Enrollment 2016
99,C190,Saint Mary School,Madison,C,,45.0,,9210.0,Diocese of Lafayette Catholic Sch,3.0,3.57%,84.0
100,C205,Saint Ambrose School,Madison,B,13.0,9.0,-0.307692307692,,,,,
101,C210,Saint Mary School,Madison,B,16.0,9.0,-0.4375,,,,,
102,D415,Central Catholic Jr/Sr High School,Tippecanoe,A,,168.0,,9210.0,Diocese of Lafayette Catholic Sch,22.0,5.08%,433.0
103,D420,Saint Boniface School,Tippecanoe,A,,62.0,,9210.0,Diocese of Lafayette Catholic Sch,12.0,9.30%,129.0
104,D425,Saint Lawrence Elementary School,Tippecanoe,A,,100.0,,9210.0,Diocese of Lafayette Catholic Sch,18.0,6.77%,266.0
105,D430,Saint Mary Cathedral School,Tippecanoe,A,10.0,75.0,6.5,9210.0,Diocese of Lafayette Catholic Sch,15.0,8.88%,169.0
106,A660,Washington Catholic Middle/High School,Daviess,B,16.0,109.0,5.8125,9215.0,Diocese of Evansville,16.0,9.30%,172.0
107,A665,Washington Catholic Elementary School,Daviess,C,22.0,125.0,4.68181818182,9215.0,Diocese of Evansville,14.0,7.49%,187.0
108,A871,Holy Trinity Catholic School,Dubois,A,9.0,82.0,8.11111111111,9215.0,Diocese of Evansville,39.0,11.14%,350.0
109,B105,Saint Joseph School,Gibson,B,,64.0,,9215.0,Diocese of Evansville,25.0,17.48%,143.0
110,B115,Holy Cross School,Gibson,A,9.0,29.0,2.22222222222,9215.0,Diocese of Evansville,19.0,13.10%,145.0
111,B120,Saint James School,Gibson,A,9.0,70.0,6.77777777778,9215.0,Diocese of Evansville,26.0,12.09%,215.0
112,B125,Saints Peter & Paul School,Gibson,A,9.0,,,9215.0,Diocese of Evansville,14.0,11.86%,118.0
113,B560,Rivet Middle & High School,Knox,B,,47.0,,9215.0,Diocese of Evansville,4.0,2.65%,151.0
114,B565,Flaget Elementary School,Knox,B,,77.0,,9215.0,Diocese of Evansville,18.0,6.87%,262.0
115,D095,Saint Matthew School,Posey,A,9.0,18.0,1.0,9215.0,Diocese of Evansville,10.0,15.15%,66.0
116,D100,Saint Philip School,Posey,A,,31.0,,9215.0,Diocese of Evansville,15.0,8.33%,180.0
117,D105,Saint Wendel School,Posey,A,,37.0,,9215.0,Diocese of Evansville,19.0,10.33%,184.0
118,D370,Saint Bernard School,Spencer,A,21.0,80.0,2.80952380952,9215.0,Diocese of Evansville,25.0,20.83%,120.0
119,D530,Mater Dei High School,Vanderburgh,A,,147.0,,9215.0,Diocese of Evansville,19.0,3.59%,529.0
120,D535,Reitz Memorial High School,Vanderburgh,A,13.0,193.0,13.8461538462,9215.0,Diocese of Evansville,22.0,3.19%,690.0
121,D545,Christ The King School,Vanderburgh,A,,48.0,,9215.0,Diocese of Evansville,13.0,8.44%,154.0
122,D550,Corpus Christi School,Vanderburgh,A,9.0,49.0,4.44444444444,9215.0,Diocese of Evansville,17.0,6.83%,249.0
123,D555,Good Shepherd School,Vanderburgh,A,,91.0,,9215.0,Diocese of Evansville,25.0,7.14%,350.0
124,D560,Holy Redeemer School,Vanderburgh,B,11.0,102.0,8.27272727273,9215.0,Diocese of Evansville,18.0,8.22%,219.0
125,D565,Holy Rosary School,Vanderburgh,A,,123.0,,9215.0,Diocese of Evansville,26.0,7.37%,353.0
126,D570,Holy Spirit School,Vanderburgh,B,25.0,123.0,3.92,9215.0,Diocese of Evansville,45.0,25.86%,174.0
127,D580,Westside Catholic School,Vanderburgh,B,,107.0,,9215.0,Diocese of Evansville,17.0,10.00%,170.0
128,D590,Saint Benedict Cathedral School,Vanderburgh,A,,84.0,,9215.0,Diocese of Evansville,25.0,6.41%,390.0
129,D605,Saint Joseph School,Vanderburgh,B,,38.0,,9215.0,Diocese of Evansville,19.0,10.11%,188.0
130,D610,Resurrection School,Vanderburgh,A,,87.0,,9215.0,Diocese of Evansville,22.0,6.71%,328.0
131,D815,Saint John The Baptist School,Warrick,A,,89.0,,9215.0,Diocese of Evansville,41.0,12.09%,339.0
132,A035,Saint Joseph School,Adams,A,,171.0,,9220.0,Diocese of Fort Wayne - South Bend,25.0,8.42%,297.0
