,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade,District No.,District Name
175,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,3070,Noblesville Schools
176,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,2980,White River Valley School District
177,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5380,Beech Grove City Schools
178,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,4205,Center Grove Community School Corporation
179,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,4145,Clark-Pleasant Community School Corporation
180,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5310,Franklin Township Community School Corporation
181,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,4245,Greenwood Community School Corporation
182,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,3005,Hamilton Southeastern Schools
183,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5385,Indianapolis Public Schools
184,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5300,M S D Decatur Township
185,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5340,M S D Perry Township
186,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5350,M S D Pike Township
187,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,5360,M S D Warren Township
188,C315,Calvary Lutheran School,Marion,113,18.0,8.04,224.0,B,3295,North West Hendricks Schools
189,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5385,Indianapolis Public Schools
190,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5330,M S D Lawrence Township
191,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5350,M S D Pike Township
192,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5360,M S D Warren Township
193,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5370,M S D Washington Township
194,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5375,M S D Wayne Township
195,C690,Capitol City Seventh Day Adventist Church School,Marion,24,0.0,0.0,58.0,F,5400,School Town of Speedway
196,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,3315,Avon Community School Corporation
197,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,3305,Brownsburg Community School Corporation
198,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,3060,Carmel Clay Schools
199,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5310,Franklin Township Community School Corporation
200,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5385,Indianapolis Public Schools
201,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5300,M S D Decatur Township
202,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5340,M S D Perry Township
203,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5350,M S D Pike Township
204,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5360,M S D Warren Township
205,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5370,M S D Washington Township
206,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5375,M S D Wayne Township
207,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,3330,Plainfield Community School Corporation
208,C715,Cardinal Ritter High School,Marion,330,30.0,4.52,663.0,B,5400,School Town of Speedway
209,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5275,Anderson Community School Corporation
210,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3315,Avon Community School Corporation
211,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5380,Beech Grove City Schools
212,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3305,Brownsburg Community School Corporation
213,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3060,Carmel Clay Schools
214,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3325,Danville Community School Corporation
215,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5310,Franklin Township Community School Corporation
216,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,4245,Greenwood Community School Corporation
217,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3005,Hamilton Southeastern Schools
218,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5385,Indianapolis Public Schools
219,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5330,M S D Lawrence Township
220,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5340,M S D Perry Township
221,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5350,M S D Pike Township
222,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5360,M S D Warren Township
223,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5370,M S D Washington Township
224,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5375,M S D Wayne Township
225,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3135,Mount Vernon Community School Corporation
226,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3070,Noblesville Schools
227,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,5400,School Town of Speedway
228,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3115,Southern Hancock County Community School Corporation
229,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,3030,Westfield-Washington Schools
230,C700,Cathedral High School,Marion,250,61.0,5.15,1184.0,A,630,Zionsville Community Schools
231,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,1160,Clinton Prairie School Corporation
232,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,755,Delphi Community School Corporation
233,D415,Central Catholic Jr/Sr High School,Tippecanoe,168,22.0,5.08,433.0,A,7855,Lafayette School Corporation
