,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc,District Name,Public SpecEd 2016,Public SpecEd Perc,Public Enrollment 2016
107,4255,1045.0,170.0,2601.0,6.54,Nineveh-Hensley-Jackson United,280.0,15.32%,1828.0
64,3070,1991.0,373.0,6509.0,5.73,Noblesville Schools,1511.0,14.49%,10426.0
47,25,636.0,75.0,1069.0,7.02,North Adams Community Schools,260.0,14.37%,1809.0
283,6375,,,,,North Central Parke Comm Schl Corp,257.0,21.01%,1223.0
10,1375,152.0,23.0,285.0,8.07,North Daviess Com Schools,176.0,15.09%,1166.0
51,2735,493.0,107.0,1188.0,9.01,North Gibson School Corp,528.0,25.79%,2047.0
70,3180,423.0,86.0,1588.0,5.42,North Harrison Com School Corp,420.0,18.59%,2259.0
227,7515,333.0,117.0,1100.0,10.64,North Judson-San Pierre Sch Corp,173.0,16.86%,1026.0
108,4315,233.0,38.0,585.0,6.5,North Knox School Corp,206.0,15.56%,1324.0
140,5075,268.0,48.0,601.0,7.99,North Lawrence Com Schools,983.0,19.95%,4928.0
166,5620,,,,,North Miami Community Schools,163.0,17.01%,958.0
171,5835,936.0,132.0,2203.0,5.99,North Montgomery Com Sch Corp,355.0,18.65%,1903.0
178,5945,394.0,56.0,1212.0,4.62,North Newton School Corp,212.0,15.28%,1387.0
285,6715,,,,,North Putnam Community Schools,258.0,17.76%,1453.0
223,7385,162.0,64.0,470.0,13.62,North Spencer County Sch Corp,338.0,16.54%,2044.0
241,8010,19.0,3.0,56.0,5.36,North Vermillion Com Sch Corp,105.0,14.09%,745.0
72,3295,537.0,77.0,1424.0,5.41,North West Hendricks Schools,225.0,11.91%,1889.0
260,8515,243.0,43.0,598.0,7.19,North White School Corp,123.0,14.42%,853.0
28,2040,82.0,39.0,350.0,11.14,Northeast Dubois Co Sch Corp,191.0,20.65%,925.0
232,7645,140.0,3.0,335.0,0.9,Northeast School Corp,135.0,15.27%,884.0
256,8375,235.0,31.0,443.0,7.0,Northeastern Wayne Schools,218.0,16.47%,1324.0
258,8435,1762.0,193.0,3514.0,5.49,Northern Wells Community Schools,337.0,13.73%,2455.0
33,225,5279.0,677.0,10389.0,6.52,Northwest Allen County Schools,887.0,12.05%,7362.0
220,7350,802.0,168.0,2244.0,7.49,Northwestern Con School Corp,219.0,14.70%,1490.0
83,3470,475.0,165.0,1374.0,12.01,Northwestern School Corp,225.0,12.51%,1799.0
167,5625,668.0,125.0,1504.0,8.31,Oak Hill United School Corp,204.0,11.83%,1724.0
301,9325,,,,,Options Charter School - Carmel,39.0,22.16%,176.0
336,9640,,,,,Options Charter School Noblesville,68.0,33.33%,204.0
225,7495,57.0,3.0,88.0,3.41,Oregon-Davis School Corp,62.0,10.63%,583.0
276,6145,,,,,Orleans Community Schools,164.0,20.02%,819.0
277,6155,,,,,Paoli Community School Corp,254.0,17.58%,1445.0
342,9680,,,,,Paramount School Of Excellence Inc,122.0,16.97%,719.0
213,7175,2830.0,525.0,6932.0,7.57,Penn-Harris-Madison School Corp,1402.0,12.75%,10994.0
280,6325,,,,,Perry Central Com Schools Corp,173.0,13.67%,1266.0
151,5340,4804.0,780.0,11276.0,6.92,Perry Township Schools,2024.0,12.55%,16128.0
168,5635,47.0,4.0,76.0,5.26,Peru Community Schools,312.0,14.74%,2116.0
377,9925,,,,,Phalen Leadership Academy - IN Inc,23.0,7.42%,310.0
187,6445,141.0,43.0,405.0,10.62,Pike County School Corp,380.0,20.33%,1869.0
269,775,,,,,Pioneer Regional School Corp,107.0,11.75%,911.0
76,3330,1787.0,289.0,4579.0,6.31,Plainfield Community School Corp,781.0,14.29%,5466.0
162,5485,691.0,153.0,1861.0,8.22,Plymouth Community School Corp,470.0,12.77%,3680.0
193,6550,1261.0,94.0,2784.0,3.38,Portage Township Schools,1239.0,16.06%,7717.0
191,6520,722.0,83.0,2105.0,3.94,Porter Township School Corp,265.0,19.49%,1360.0
115,4515,450.0,59.0,1075.0,5.49,Prairie Heights Community Sch Corp,202.0,15.92%,1269.0
205,6825,25.0,7.0,46.0,15.22,Randolph Central School Corp,313.0,20.26%,1545.0
206,6835,87.0,28.0,335.0,8.36,Randolph Eastern School Corp,152.0,17.00%,894.0
203,6805,80.0,15.0,154.0,9.74,Randolph Southern School Corp,77.0,14.67%,525.0
344,9690,,,,,Renaissance Academy Charter School,29.0,11.74%,247.0
96,3815,198.0,28.0,515.0,5.44,Rensselaer Central School Corp,285.0,16.97%,1679.0
169,5705,444.0,93.0,1125.0,8.27,Richland-Bean Blossom C S C,480.0,17.09%,2808.0
257,8385,659.0,37.0,987.0,3.75,Richmond Community Schools,1052.0,21.05%,4998.0
183,6080,153.0,30.0,527.0,5.69,Rising Sun-Ohio Co Com,133.0,17.27%,770.0
119,4590,696.0,45.0,1596.0,2.82,River Forest Community Sch Corp,222.0,14.38%,1544.0
49,2645,,,,,Rochester Community School Corp,294.0,16.01%,1836.0
367,9875,,,,,Rock Creek Community Academy,141.0,27.81%,507.0
6,1180,687.0,179.0,2043.0,8.76,Rossville Con School District,108.0,10.88%,993.0
321,9465,,,,,Rural Community Schools Inc,68.0,40.48%,168.0
211,6995,173.0,75.0,636.0,11.79,Rush County Schools,291.0,13.78%,2111.0
322,9485,,,,,SE Neighborhood Sch of Excellence,78.0,14.44%,540.0
250,8205,306.0,19.0,836.0,2.27,Salem Community Schools,515.0,26.84%,1919.0
125,4670,2295.0,162.0,4446.0,3.64,School City of East Chicago,842.0,18.63%,4520.0
129,4710,2300.0,161.0,4469.0,3.6,School City of Hammond,1986.0,14.32%,13868.0
131,4730,1608.0,103.0,3228.0,3.19,School City of Hobart,504.0,12.59%,4004.0
214,7200,2751.0,524.0,6863.0,7.64,School City of Mishawaka,917.0,17.21%,5328.0
133,4760,702.0,30.0,1377.0,2.18,School City of Whiting,157.0,13.16%,1193.0
130,4720,1083.0,97.0,2816.0,3.44,School Town of Highland,356.0,11.21%,3176.0
132,4740,877.0,74.0,2247.0,3.29,School Town of Munster,462.0,11.54%,4002.0
158,5400,1807.0,174.0,4594.0,3.79,School Town of Speedway,244.0,13.59%,1796.0
217,7230,77.0,0.0,93.0,,Scott County School District 1,208.0,17.90%,1162.0
218,7255,773.0,122.0,1818.0,6.71,Scott County School District 2,487.0,17.94%,2715.0
389,9985,,,,,Seven Oaks Classical School,20.0,12.42%,161.0
91,3675,402.0,91.0,1036.0,8.78,Seymour Community Schools,776.0,16.50%,4704.0
219,7285,384.0,106.0,1317.0,8.05,Shelby Eastern Schools,202.0,17.00%,1188.0
222,7365,1137.0,192.0,2884.0,6.66,Shelbyville Central Schools,617.0,15.16%,4069.0
80,3435,627.0,86.0,1009.0,8.52,Shenandoah School Corporation,235.0,16.82%,1397.0
62,3055,,,,,Sheridan Community Schools,187.0,18.05%,1036.0
164,5520,76.0,11.0,191.0,5.76,Shoals Community School Corp,158.0,26.87%,588.0
299,9315,,,,,Signature School Inc,3.0,0.83%,361.0
354,9760,,,,,Smith Academy for Excellence,20.0,27.78%,72.0
264,8625,114.0,11.0,187.0,5.88,Smith-Green Community Schools,164.0,13.69%,1198.0
86,35,276.0,114.0,1012.0,11.26,South Adams Schools,195.0,15.02%,1298.0
215,7205,3862.0,632.0,8464.0,7.47,South Bend Community School Corp,3347.0,18.48%,18110.0
138,4940,160.0,5.0,296.0,1.69,South Central Com School Corp,133.0,13.96%,953.0
14,1600,302.0,72.0,976.0,7.38,South Dearborn Community Sch Corp,508.0,20.05%,2534.0
52,2765,99.0,59.0,478.0,12.34,South Gibson School Corporation,372.0,18.76%,1983.0
71,3190,459.0,91.0,1715.0,5.31,South Harrison Com Schools,524.0,16.79%,3120.0
79,3415,169.0,25.0,309.0,8.09,South Henry School Corp,96.0,11.68%,822.0
109,4325,124.0,22.0,413.0,5.33,South Knox School Corp,159.0,12.81%,1241.0
144,5255,1106.0,130.0,1786.0,7.28,South Madison Com Sch Corp,654.0,14.59%,4481.0
