,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc
166,5620,,,,
167,5625,668.0,125.0,1504.0,8.31
168,5635,47.0,4.0,76.0,5.26
169,5705,444.0,93.0,1125.0,8.27
170,5740,616.0,133.0,1602.0,8.3
171,5835,936.0,132.0,2203.0,5.99
172,5845,241.0,40.0,740.0,5.41
173,5855,353.0,59.0,918.0,6.43
174,5900,451.0,58.0,957.0,6.06
175,5910,139.0,21.0,321.0,6.54
176,5925,877.0,132.0,2214.0,5.96
177,5930,2380.0,417.0,6635.0,6.28
178,5945,394.0,56.0,1212.0,4.62
179,5995,,,,
180,6055,881.0,128.0,2019.0,6.34
181,6060,1953.0,232.0,4080.0,5.69
182,6065,276.0,114.0,1012.0,11.26
183,6080,153.0,30.0,527.0,5.69
184,615,225.0,51.0,616.0,8.28
185,6195,444.0,93.0,1096.0,8.49
186,630,1595.0,301.0,6048.0,4.98
187,6445,141.0,43.0,405.0,10.62
188,6460,225.0,30.0,506.0,5.93
189,6470,805.0,78.0,2077.0,3.76
190,6510,213.0,26.0,652.0,3.99
191,6520,722.0,83.0,2105.0,3.94
192,6530,267.0,22.0,303.0,7.26
193,6550,1261.0,94.0,2784.0,3.38
194,6560,740.0,75.0,1526.0,4.91
195,6590,711.0,128.0,2034.0,6.29
196,6600,369.0,113.0,1554.0,7.27
197,6620,276.0,114.0,1012.0,11.26
198,6630,419.0,69.0,1018.0,6.78
199,665,1171.0,265.0,3406.0,7.78
200,670,1095.0,254.0,3214.0,7.9
201,6750,140.0,3.0,335.0,0.9
202,6795,80.0,16.0,197.0,8.12
203,6805,80.0,15.0,154.0,9.74
204,6820,25.0,7.0,46.0,15.22
205,6825,25.0,7.0,46.0,15.22
206,6835,87.0,28.0,335.0,8.36
207,6865,279.0,53.0,806.0,6.58
208,6895,150.0,40.0,653.0,6.13
209,6900,247.0,44.0,720.0,6.11
210,6910,63.0,6.0,210.0,2.86
211,6995,173.0,75.0,636.0,11.79
212,7150,690.0,85.0,1731.0,4.91
213,7175,2830.0,525.0,6932.0,7.57
214,7200,2751.0,524.0,6863.0,7.64
215,7205,3862.0,632.0,8464.0,7.47
216,7215,684.0,93.0,1254.0,7.42
217,7230,77.0,0.0,93.0,
218,7255,773.0,122.0,1818.0,6.71
219,7285,384.0,106.0,1317.0,8.05
220,7350,802.0,168.0,2244.0,7.49
221,7360,536.0,143.0,1762.0,8.12
222,7365,1137.0,192.0,2884.0,6.66
223,7385,162.0,64.0,470.0,13.62
224,7445,273.0,47.0,810.0,5.8
225,7495,57.0,3.0,88.0,3.41
226,750,669.0,195.0,1877.0,10.39
227,7515,333.0,117.0,1100.0,10.64
228,7525,333.0,117.0,1100.0,10.64
229,755,1153.0,283.0,3035.0,9.32
230,7610,262.0,36.0,597.0,6.03
231,7615,262.0,36.0,597.0,6.03
232,7645,140.0,3.0,335.0,0.9
233,7775,111.0,20.0,229.0,8.73
234,7855,1343.0,294.0,3497.0,8.41
235,7865,1209.0,277.0,3232.0,8.57
236,7875,928.0,230.0,2599.0,8.85
237,7935,,,,
238,7945,501.0,165.0,1628.0,10.14
239,7950,124.0,16.0,217.0,7.37
240,7995,1988.0,445.0,5938.0,7.49
241,8010,19.0,3.0,56.0,5.36
242,8020,,,,
243,8030,154.0,4.0,350.0,1.14
244,8045,287.0,52.0,530.0,9.81
245,8050,394.0,12.0,484.0,2.48
246,8060,47.0,4.0,76.0,5.26
247,8115,,,,
248,8130,1421.0,293.0,4352.0,6.73
249,815,150.0,38.0,267.0,14.23
250,8205,306.0,19.0,836.0,2.27
251,8215,107.0,34.0,489.0,6.95
252,8220,260.0,45.0,800.0,5.63
253,8305,358.0,32.0,656.0,4.88
254,8355,277.0,29.0,526.0,5.51
255,8360,323.0,36.0,604.0,5.96
256,8375,235.0,31.0,443.0,7.0
257,8385,659.0,37.0,987.0,3.75
258,8435,1762.0,193.0,3514.0,5.49
259,8445,51.0,13.0,97.0,13.4
260,8515,243.0,43.0,598.0,7.19
261,8525,619.0,175.0,1876.0,9.33
262,8535,438.0,53.0,900.0,5.89
263,8565,473.0,77.0,1160.0,6.64
264,8625,114.0,11.0,187.0,5.88
265,8665,2387.0,274.0,5083.0,5.39
266,875,90.0,1.0,127.0,0.79
267,940,893.0,208.0,3076.0,6.76
268,None,261.0,216.0,3100.0,6.97
