,Corp ID,Corp Name,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,SpecEd 2016,SpecEd Perc,Enrollment 2016,Voucher Perc
119,9215.0,Diocese of Evansville,D530,Mater Dei High School,Vanderburgh,A,,147.0,,19.0,3.59,529.0,27.79
120,9215.0,Diocese of Evansville,D535,Reitz Memorial High School,Vanderburgh,A,13.0,193.0,13.8461538462,22.0,3.19,690.0,27.97
121,9215.0,Diocese of Evansville,D545,Christ The King School,Vanderburgh,A,,48.0,,13.0,8.44,154.0,31.17
122,9215.0,Diocese of Evansville,D550,Corpus Christi School,Vanderburgh,A,9.0,49.0,4.44444444444,17.0,6.83,249.0,19.68
123,9215.0,Diocese of Evansville,D555,Good Shepherd School,Vanderburgh,A,,91.0,,25.0,7.14,350.0,26.0
124,9215.0,Diocese of Evansville,D560,Holy Redeemer School,Vanderburgh,B,11.0,102.0,8.27272727273,18.0,8.22,219.0,46.58
125,9215.0,Diocese of Evansville,D565,Holy Rosary School,Vanderburgh,A,,123.0,,26.0,7.37,353.0,34.84
126,9215.0,Diocese of Evansville,D570,Holy Spirit School,Vanderburgh,B,25.0,123.0,3.92,45.0,25.86,174.0,70.69
127,9215.0,Diocese of Evansville,D580,Westside Catholic School,Vanderburgh,B,,107.0,,17.0,10.0,170.0,62.94
128,9215.0,Diocese of Evansville,D590,Saint Benedict Cathedral School,Vanderburgh,A,,84.0,,25.0,6.41,390.0,21.54
129,9215.0,Diocese of Evansville,D605,Saint Joseph School,Vanderburgh,B,,38.0,,19.0,10.11,188.0,20.21
130,9215.0,Diocese of Evansville,D610,Resurrection School,Vanderburgh,A,,87.0,,22.0,6.71,328.0,26.52
131,9215.0,Diocese of Evansville,D815,Saint John The Baptist School,Warrick,A,,89.0,,41.0,12.09,339.0,26.25
132,9220.0,Diocese of Fort Wayne - South Bend,A035,Saint Joseph School,Adams,A,,171.0,,25.0,8.42,297.0,57.58
133,9220.0,Diocese of Fort Wayne - South Bend,A104,Saint Joseph-Saint Elizabeth Campus II,Allen,B,,197.0,,25.0,5.45,459.0,42.92
134,9220.0,Diocese of Fort Wayne - South Bend,A120,Bishop Dwenger High School,Allen,A,22.0,450.0,19.4545454545,59.0,5.49,1075.0,41.86
135,9220.0,Diocese of Fort Wayne - South Bend,A125,Bishop Luers High School,Allen,B,58.0,391.0,5.74137931034,38.0,6.16,617.0,63.37
136,9220.0,Diocese of Fort Wayne - South Bend,A130,Most Precious Blood School,Allen,B,17.0,168.0,8.88235294118,22.0,9.48,232.0,72.41
137,9220.0,Diocese of Fort Wayne - South Bend,A135,Queen Of Angels School,Allen,C,19.0,128.0,5.73684210526,11.0,5.7,193.0,66.32
138,9220.0,Diocese of Fort Wayne - South Bend,A145,Saint Charles Borromeo School,Allen,A,24.0,389.0,15.2083333333,37.0,5.17,715.0,54.41
139,9220.0,Diocese of Fort Wayne - South Bend,A150,Saint John The Baptist School,Allen,A,20.0,158.0,6.9,13.0,5.68,229.0,69.0
140,9220.0,Diocese of Fort Wayne - South Bend,A155,Saint Joseph-Saint Elizabeth Campus I,Allen,B,,139.0,,10.0,5.52,181.0,76.8
141,9220.0,Diocese of Fort Wayne - South Bend,A160,Saint Jude Elementary School,Allen,A,28.0,303.0,9.82142857143,32.0,6.61,484.0,62.6
142,9220.0,Diocese of Fort Wayne - South Bend,A175,Saint Therese School,Allen,C,32.0,158.0,3.9375,17.0,8.85,192.0,82.29
143,9220.0,Diocese of Fort Wayne - South Bend,A180,Saint Vincent DePaul School,Allen,A,,256.0,,52.0,6.91,752.0,34.04
144,9220.0,Diocese of Fort Wayne - South Bend,A270,Saint Aloysius Catholic School,Allen,A,,51.0,,13.0,13.4,97.0,52.58
145,9220.0,Diocese of Fort Wayne - South Bend,A340,Saint Joseph Catholic School,Allen,B,12.0,47.0,2.91666666667,10.0,9.52,105.0,44.76
146,9220.0,Diocese of Fort Wayne - South Bend,A350,Saint Joseph Hessen Cassel Catholic School,Allen,B,,56.0,,10.0,8.93,112.0,50.0
147,9220.0,Diocese of Fort Wayne - South Bend,A355,Saint John The Baptist Catholic School,Allen,A,,132.0,,13.0,5.73,227.0,58.15
148,9220.0,Diocese of Fort Wayne - South Bend,A360,Saint Louis Besancon Catholic School,Allen,D,,63.0,,5.0,5.32,94.0,67.02
149,9220.0,Diocese of Fort Wayne - South Bend,A735,Saint Joseph School,Dekalb,A,,37.0,,6.0,7.89,76.0,48.68
150,9220.0,Diocese of Fort Wayne - South Bend,A975,Saint Thomas The Apostle School,Elkhart,B,13.0,86.0,5.61538461538,20.0,8.0,250.0,34.4
151,9220.0,Diocese of Fort Wayne - South Bend,A980,Saint Vincent DePaul School,Elkhart,B,23.0,147.0,5.39130434783,10.0,6.13,163.0,90.18
152,9220.0,Diocese of Fort Wayne - South Bend,B020,Saint John Evangelist School,Elkhart,C,,92.0,,11.0,8.66,127.0,72.44
153,9220.0,Diocese of Fort Wayne - South Bend,B418,Huntington Catholic School,Huntington,C,17.0,75.0,3.41176470588,15.0,13.76,109.0,68.81
154,9220.0,Diocese of Fort Wayne - South Bend,B605,Sacred Heart School,Kosciusko,A,,46.0,,13.0,8.97,145.0,31.72
155,9220.0,Diocese of Fort Wayne - South Bend,C855,Saint Michael School,Marshall,A,,74.0,,7.0,4.35,161.0,45.96
156,9220.0,Diocese of Fort Wayne - South Bend,C980,Saint Mary Elementary School,Noble,B,,57.0,,14.0,11.29,124.0,45.97
157,9220.0,Diocese of Fort Wayne - South Bend,D164,Saint Pius X Catholic School,St Joseph,A,,94.0,,36.0,6.45,558.0,16.85
158,9220.0,Diocese of Fort Wayne - South Bend,D165,Marian High School,St Joseph,A,41.0,341.0,7.31707317073,32.0,4.65,688.0,49.56
159,9220.0,Diocese of Fort Wayne - South Bend,D177,Mishawaka Catholic School,St Joseph,B,18.0,163.0,8.05555555556,24.0,8.92,269.0,60.59
160,9220.0,Diocese of Fort Wayne - South Bend,D198,Queen of Peace School,St Joseph,A,,96.0,,14.0,6.7,209.0,45.93
161,9220.0,Diocese of Fort Wayne - South Bend,D225,Saint Joseph's High School,St Joseph,A,13.0,288.0,21.1538461538,35.0,3.91,896.0,32.14
162,9220.0,Diocese of Fort Wayne - South Bend,D230,Christ The King School,St Joseph,A,,135.0,,38.0,7.92,480.0,28.13
163,9220.0,Diocese of Fort Wayne - South Bend,D235,Corpus Christi School,St Joseph,B,,80.0,,20.0,10.64,188.0,42.55
164,9220.0,Diocese of Fort Wayne - South Bend,D240,Holy Cross School,St Joseph,C,43.0,153.0,2.55813953488,21.0,9.91,212.0,72.17
165,9220.0,Diocese of Fort Wayne - South Bend,D245,Holy Family School,St Joseph,C,35.0,157.0,3.48571428571,12.0,4.6,261.0,60.15
166,9220.0,Diocese of Fort Wayne - South Bend,D250,Our Lady Of Hungary School,St Joseph,A,65.0,179.0,1.75384615385,10.0,5.43,184.0,97.28
167,9220.0,Diocese of Fort Wayne - South Bend,D255,Saint Adalbert School,St Joseph,B,46.0,198.0,3.30434782609,9.0,4.0,225.0,88.0
168,9220.0,Diocese of Fort Wayne - South Bend,D260,Saint Anthony De Padua School,St Joseph,A,32.0,134.0,3.1875,29.0,10.51,276.0,48.55
169,9220.0,Diocese of Fort Wayne - South Bend,D265,Saint John The Baptist School,St Joseph,D,27.0,68.0,1.51851851852,5.0,6.94,72.0,94.44
170,9220.0,Diocese of Fort Wayne - South Bend,D270,Saint Joseph School,St Joseph,A,,91.0,,37.0,8.17,453.0,20.09
