CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
775,Pioneer Regional School Corp,649,Pioneer Elementary School,10,2.07%,70,14.52%,482
815,Southeastern School Corp,,,21,1.57%,143,10.68%,1339
815,Southeastern School Corp,673,Galveston Elementary School,5,1.67%,38,12.71%,299
815,Southeastern School Corp,689,Lewis Cass Jr-Sr High School,8,1.20%,75,11.23%,668
815,Southeastern School Corp,695,Thompson Elementary School,8,2.15%,30,8.06%,372
875,Logansport Community Sch Corp,,,913,21.46%,499,11.73%,4254
875,Logansport Community Sch Corp,701,Logansport Community High School,151,12.23%,135,10.93%,1235
875,Logansport Community Sch Corp,702,Lincoln Middle School,74,15.10%,56,11.43%,490
875,Logansport Community Sch Corp,705,Franklin Elementary School,85,20.53%,41,9.90%,414
875,Logansport Community Sch Corp,709,Fairview Elementary School,119,29.10%,81,19.80%,409
875,Logansport Community Sch Corp,711,Landis Elementary School,243,29.82%,77,9.45%,815
875,Logansport Community Sch Corp,713,Columbia Elementary School,157,34.28%,60,13.10%,458
875,Logansport Community Sch Corp,715,Columbia Middle School,84,19.40%,49,11.32%,433
940,West Clark Community Schools,,,130,2.73%,670,14.07%,4761
940,West Clark Community Schools,765,Henryville Jr & Sr High School,5,0.95%,82,15.62%,525
940,West Clark Community Schools,767,Henryville Elementary School,4,0.63%,108,16.88%,640
940,West Clark Community Schools,777,Silver Creek High School,16,1.73%,92,9.97%,923
940,West Clark Community Schools,781,Silver Creek Middle School,20,2.99%,61,9.12%,669
940,West Clark Community Schools,789,Silver Creek Elementary School,36,4.24%,108,12.71%,850
940,West Clark Community Schools,813,William W Borden High School,1,0.29%,60,17.24%,348
940,West Clark Community Schools,815,William W Borden Elementary School,3,0.91%,78,23.78%,328
940,West Clark Community Schools,818,Silver Creek Primary School,45,9.41%,81,16.95%,478
1000,Clarksville Community School Corp,,,60,4.28%,236,16.83%,1402
1000,Clarksville Community School Corp,833,Clarksville Senior High School,14,3.04%,78,16.92%,461
1000,Clarksville Community School Corp,845,Clarksville Elementary School,36,6.50%,90,16.25%,554
1000,Clarksville Community School Corp,851,Clarksville Middle School,10,2.58%,68,17.57%,387
1010,Greater Clark County Schools,,,562,5.33%,1718,16.29%,10544
1010,Greater Clark County Schools,755,W E Wilson Elementary,16,3.07%,68,13.03%,522
1010,Greater Clark County Schools,761,Thomas Jefferson Elementary School,12,2.91%,74,17.92%,413
1010,Greater Clark County Schools,801,Northaven Elementary School,86,17.88%,62,12.89%,481
1010,Greater Clark County Schools,805,Utica Elementary School,2,0.39%,58,11.20%,518
1010,Greater Clark County Schools,807,New Washington Elementary School,1,0.32%,71,22.83%,311
1010,Greater Clark County Schools,809,New Washington Middle/High School,2,0.54%,52,13.94%,373
1010,Greater Clark County Schools,821,Charlestown Senior High School,12,1.72%,94,13.51%,696
1010,Greater Clark County Schools,825,Jonathan Jennings Elementary Sch,24,4.88%,83,16.87%,492
1010,Greater Clark County Schools,829,Pleasant Ridge Elementary School,33,6.51%,81,15.98%,507
1010,Greater Clark County Schools,849,Jeffersonville High School,75,3.67%,319,15.61%,2044
1010,Greater Clark County Schools,853,Parkview Middle School,5,0.72%,114,16.50%,691
1010,Greater Clark County Schools,863,Charlestown Middle School,12,2.38%,73,14.48%,504
1010,Greater Clark County Schools,865,Bridgepoint Elementary School,11,2.86%,88,22.86%,385
1010,Greater Clark County Schools,869,Maple Elementary School,7,3.03%,28,12.12%,231
1010,Greater Clark County Schools,871,Riverside Elementary School,12,2.42%,115,23.19%,496
1010,Greater Clark County Schools,877,Spring Hill Elementary School,8,3.96%,62,30.69%,202
1010,Greater Clark County Schools,879,Parkwood Elementary School,179,30.70%,82,14.07%,583
1010,Greater Clark County Schools,883,River Valley Middle School,61,6.67%,137,14.99%,914
1010,Greater Clark County Schools,886,Old Corden Porter School,2,3.23%,56,90.32%,62
