CORP_NAME_CODE1,CORP_NAME1,SCHL_NAME_CODE,SCHL_NAME,GRADE,ENROLLMENT_N,ENROLLMENT_N1
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 2,21,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 3,16,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 4,18,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 5,13,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 6,11,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 7,,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 8,,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 9,,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 10,,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 11,,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 12,,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 12+/Adult,,203
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Pre-Kindergarten,28,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Kindergarten,18,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 1,23,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 2,20,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 3,20,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 4,22,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 5,19,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 6,27,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 7,27,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 8,23,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 9,,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 10,,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 11,,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 12,,227
9200,Archdiocese of Indianapolis,B095,Saint Michael School,Grade 12+/Adult,,227
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Pre-Kindergarten,16,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Kindergarten,19,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 1,16,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 2,22,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 3,20,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 4,23,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 5,25,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 6,28,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 7,24,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 8,25,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 9,,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 10,,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 11,,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 12,,218
9200,Archdiocese of Indianapolis,B265,Saint Michael School,Grade 12+/Adult,,218
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Pre-Kindergarten,10,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Kindergarten,13,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 1,12,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 2,13,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 3,11,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 4,9,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 5,8,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 6,4,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 7,,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 8,,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 9,,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 10,,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 11,,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 12,,80
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Grade 12+/Adult,,80
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Pre-Kindergarten,,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Kindergarten,40,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 1,52,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 2,50,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 3,48,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 4,49,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 5,49,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 6,36,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 7,51,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 8,44,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 9,,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 10,,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 11,,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 12,,419
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Grade 12+/Adult,,419
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Pre-Kindergarten,53,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Kindergarten,30,240
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Grade 1,28,240
