,School No.,School Name,County,2011,2012,2013,2014,2015,2016
160,C899,Pinnacle School,Monroe,4351.86,4401.53,4575.3,4641.46,4823.36,
161,B510,Pope John XXIII School,Jefferson,,3607.84,3388.98,3442.89,3546.69,3639.35
162,D080,Portage Christian School,Porter,,,3871.46,4282.44,4655.33,4845.83
163,A870,Precious Blood School,Dubois,,,2172.81,2233.53,,
164,C791,Project Libertas,Marion,,,4587.75,4835.59,5750.29,5798.49
165,C623,Providence Cristo Rey High School,Marion,5890.14,5851.47,6075.95,6056.24,5651.94,5850.46
166,C110,Queen Of All Saints School,LaPorte,3879.77,4114.18,3994.38,3799.62,3603.14,4335.14
167,A135,Queen Of Angels School,Allen,4250.71,3989.47,3570.46,3771.31,3890.22,3827.3
168,D198,Queen of Peace School,St Joseph,,3056.43,2837.44,2809.94,3131.38,3116.87
169,B367,Redeemer Lutheran School,Howard,,,3282.57,3534.84,3912.4,3614.93
170,D535,Reitz Memorial High School,Vanderburgh,4679.54,3754.77,4596.82,4548.28,4373.28,4554.26
171,D317,Resurrection Lutheran Academy,St Joseph,,,,,,4495.06
172,D610,Resurrection School,Vanderburgh,,,2872.51,2911.22,3068.01,3098.89
173,D860,Richmond Academy,Wayne,4535.71,4611.52,3604.61,4049.85,3832.32,3983.96
174,B560,Rivet Middle & High School,Knox,,,3065.69,3153.18,3301.31,3344.76
175,C320,Roncalli High School,Marion,4392.87,4357.19,4861.94,4631.97,4417.41,4541.46
176,A470,Sacred Heart School,Benton,,,2822.22,2540.0,3132.32,2984.99
177,A570,Sacred Heart School,Clark,3705.39,3636.95,4119.88,3708.54,4031.7,3977.48
178,B605,Sacred Heart School,Kosciusko,,3136.04,2585.16,2710.02,2755.73,2910.85
179,D255,Saint Adalbert School,St Joseph,4022.0,4436.76,4668.21,4786.52,4839.2,5281.57
180,A270,Saint Aloysius Catholic School,Allen,,3519.64,3716.3,2881.42,3140.89,3325.08
181,B440,Saint Ambrose School,Jackson,,,2765.5,3127.98,3322.36,3533.47
182,C205,Saint Ambrose School,Madison,2962.59,2984.46,2730.0,3206.93,3046.75,
183,C615,Saint Anthony Catholic School,Marion,,,,,5818.42,6005.44
184,D260,Saint Anthony De Padua School,St Joseph,4374.37,3950.83,3963.38,4046.39,4043.88,4193.7
185,A560,Saint Anthony School,Clark,3664.08,4016.0,4173.87,4081.68,4108.59,4212.97
186,B475,Saint Augustine School,Jasper,,2989.68,3282.33,3204.22,3183.74,3397.13
187,C295,Saint Barnabas School,Marion,,3222.59,1798.54,1700.43,1772.46,1935.58
188,A425,Saint Bartholomew School,Bartholomew,,,3151.37,3200.74,3304.07,3517.25
189,D590,Saint Benedict Cathedral School,Vanderburgh,,3656.75,3331.94,3259.71,3397.83,3602.42
190,D805,Saint Bernard Elementary School,Wabash,,,4107.09,3770.45,3879.07,4544.41
191,D370,Saint Bernard School,Spencer,2532.15,2469.18,2344.44,2444.89,2708.43,2723.83
192,D420,Saint Boniface School,Tippecanoe,,3480.06,3948.66,3369.71,3506.64,3992.26
193,C040,Saint Bridget School,Lake,,,,,,
194,B950,Saint Casimir School,Lake,3885.57,3811.06,3820.88,4020.23,4024.93,4074.57
195,C900,Saint Charles Borromeo School,Monroe,,2534.84,2962.15,3238.99,3330.26,3603.3
196,A145,Saint Charles Borromeo School,Allen,3930.98,4097.52,4180.32,3667.56,3762.78,4041.83
197,C795,Saint Christopher School,Marion,,3692.82,4133.95,4076.25,4086.03,4038.41
198,B800,Saint Edward School,Lake,,,,,,
199,D840,Saint Elizabeth Ann Seton School,Wayne,2599.9,3885.87,4157.9,3344.12,3466.98,3715.28
200,B035,Saint Gabriel Parochial School,Fayette,,,3260.35,3198.81,3305.47,3217.03
201,D435,Saint James Lutheran School,Tippecanoe,,2216.25,2219.59,2539.97,3154.35,3528.95
202,B120,Saint James School,Gibson,,,1462.5,1623.77,1796.73,2030.82
203,C645,Saint Joan Of Arc School,Marion,3892.84,4152.79,4097.13,4099.97,4101.36,4241.87
204,B960,Saint John Bosco School,Lake,4386.72,4295.81,4156.7,4107.33,4306.78,4401.92
205,A695,Saint John Evangelical Lutheran School,Dearborn,,,,,,2889.63
206,C400,Saint John Evangelical Lutheran School,Marion,3271.88,2769.88,2648.76,2621.71,2977.27,2963.92
207,B020,Saint John Evangelist School,Elkhart,,2289.93,2050.98,2404.74,2454.06,3025.8
208,B780,Saint John Evangelist School,Lake,,,3038.28,3112.72,3162.94,3280.67
209,B275,Saint John Lutheran School,Harrison,,,2032.83,2653.94,2898.39,3030.89
210,B450,Saint John Lutheran School,Jackson,,,,,1040.0,
211,C150,Saint John Lutheran School,LaPorte,,,3576.31,3130.93,3355.87,3356.78
212,C985,Saint John Lutheran School,Noble,2538.45,2989.22,3082.47,3102.57,3166.4,3315.82
213,A355,Saint John The Baptist Catholic School,Allen,,3580.74,3661.07,1879.06,2647.12,2715.07
214,A150,Saint John The Baptist School,Allen,4500.0,3932.88,3469.03,3418.87,3782.3,4236.72
215,B965,Saint John The Baptist School,Lake,4077.14,4313.97,4294.96,3688.66,3989.66,4380.74
216,D265,Saint John The Baptist School,St Joseph,4449.74,4420.02,4551.68,4444.67,4587.85,4683.45
217,D465,Saint John The Baptist School,Tippecanoe,,2749.25,2493.2,,,
218,D815,Saint John The Baptist School,Warrick,,,2956.72,2994.5,3169.06,3170.81
219,A365,Saint John-Emmanuel Lutheran School,Allen,,,,3753.08,3476.31,3821.17
220,A340,Saint Joseph Catholic School,Allen,4500.0,,3894.89,3869.93,3863.11,3831.68
221,A350,Saint Joseph Hessen Cassel Catholic School,Allen,,3391.22,3056.88,3050.09,2769.85,2918.81
222,A035,Saint Joseph School,Adams,,3326.14,3673.56,3614.36,3382.37,3167.22
223,A735,Saint Joseph School,Dekalb,,3372.72,3285.23,3204.08,3300.08,3075.95
224,B105,Saint Joseph School,Gibson,,,2096.25,2429.06,2664.62,2782.02
225,B280,Saint Joseph School,Harrison,,,2935.2,3237.02,3264.68,3842.6
226,C145,Saint Joseph School,LaPorte,,,,,,
227,D270,Saint Joseph School,St Joseph,,,3043.02,3224.97,3308.72,3464.09
228,D335,Saint Joseph School,Shelby,,3588.24,3723.82,3956.72,3779.69,3711.11
229,D605,Saint Joseph School,Vanderburgh,,,1957.93,2199.96,2220.16,2435.54
230,D225,Saint Joseph's High School,St Joseph,5202.1,4984.75,5029.35,4895.23,4588.65,4887.06
231,A155,Saint Joseph-Saint Elizabeth Campus I,Allen,,3172.33,2629.68,4894.52,5570.86,5719.79
232,A104,Saint Joseph-Saint Elizabeth Campus II,Allen,,2980.09,3236.08,3014.05,3085.39,3078.38
233,D275,Saint Jude Catholic School,St Joseph,4027.03,3778.18,3659.27,3659.06,3861.44,3891.38
234,A160,Saint Jude Elementary School,Allen,3913.37,3718.12,3187.19,3418.77,3565.0,3739.19
235,C300,Saint Jude Elementary School,Marion,,3258.45,2868.69,3130.04,3044.06,3118.57
236,D425,Saint Lawrence Elementary School,Tippecanoe,,2946.8,3728.07,3179.07,3512.1,3699.47
237,A700,Saint Lawrence School,Dearborn,,,,,3009.57,3141.91
238,A790,Saint Lawrence School,Delaware,,1857.53,1950.79,2665.5,2522.45,3288.38
239,C280,Saint Lawrence School,Marion,4159.36,4238.24,4428.11,4512.76,4892.0,4865.68
240,A360,Saint Louis Besancon Catholic School,Allen,,3151.59,3968.76,3882.66,4152.21,3855.11
241,D130,Saint Louis School,Ripley,,3247.93,2447.07,2817.22,2819.08,2954.01
242,C435,Saint Luke School,Marion,,3535.89,3374.91,3373.78,3356.57,3407.25
243,B285,Saint Malachy School,Hendricks,,3115.7,3336.14,3533.5,3612.04,3600.29
244,C305,Saint Mark School,Marion,3177.22,3722.73,3868.08,3727.91,3840.42,4036.18
245,D430,Saint Mary Cathedral School,Tippecanoe,3216.45,2851.77,3747.81,2932.26,3582.1,3979.81
246,B835,Saint Mary Catholic Community School,Lake,3785.46,3796.01,3901.29,3987.28,4340.6,4302.19
247,C980,Saint Mary Elementary School,Noble,,3103.82,2940.42,2848.61,2867.34,2434.42
248,D140,Saint Mary Elementary School,Rush,,3758.27,4445.36,4370.46,4145.52,4300.36
249,B067,Saint Mary of-the-Knobs Catholic School,Floyd,,,,3630.19,3555.82,3492.6
250,A690,Saint Mary School,Dearborn,,3009.07,3019.07,3021.74,3061.14,3035.67
251,A730,Saint Mary School,Decatur,,,,2912.74,3109.46,3129.28
252,A795,Saint Mary School,Delaware,4181.82,3130.0,2550.0,2694.6,3008.29,3368.44
253,B515,Saint Mary School,Jennings,,3213.29,2704.81,2522.68,2659.58,2920.52
254,B930,Saint Mary School,Lake,3347.83,3910.81,4205.15,4252.21,3503.64,3535.59
255,C190,Saint Mary School,Madison,,1850.0,2350.0,2850.0,2897.69,2900.0
256,C210,Saint Mary School,Madison,1898.41,2178.84,1916.24,2044.89,2567.05,
257,B065,Saint Mary's Catholic School,Floyd,,3806.29,,,,
258,D285,Saint Matthew Cathedral School,St Joseph,4332.49,3894.82,3689.01,3685.79,3703.73,3840.0
259,C440,Saint Matthew School,Marion,,4076.76,4157.92,4027.68,4297.12,4408.43
260,D095,Saint Matthew School,Posey,,,2619.72,2333.34,2316.32,2415.38
261,B095,Saint Michael School,Franklin,,,1200.0,785.0,915.22,909.68
262,B265,Saint Michael School,Hancock,,,3025.84,3272.78,3214.8,3097.9
263,B775,Saint Michael School,Lake,,,4460.99,4136.52,3543.74,3465.16
264,C855,Saint Michael School,Marshall,,3828.99,3716.05,4147.32,4321.79,3957.44
265,C650,Saint Michael The Archangel School,Marion,4236.71,4314.38,4495.57,4117.73,4363.51,4491.87
266,C445,Saint Monica School,Marion,3748.86,3887.06,4051.38,3827.72,3880.84,4355.31
267,A680,Saint Nicholas School,Ripley,,,,,,
268,D050,Saint Patrick School,Porter,,,,,,3557.5
269,D720,Saint Patrick School,Vigo,3972.47,4129.31,3526.26,3344.1,3537.28,3954.11
270,A685,Saint Paul Catholic School,Dearborn,,,1949.21,2682.25,2713.39,2937.59
271,D085,Saint Paul Catholic School,Porter,,,,,,2923.19
272,A245,Saint Paul Lutheran School,Allen,4064.63,4051.99,4282.0,3392.26,4267.27,4435.78
273,C130,Saint Paul Lutheran School,LaPorte,,3027.58,3608.5,3661.32,4738.39,5025.82
274,B155,Saint Paul Parish School,Grant,,3946.96,4009.15,4040.85,3980.49,4666.64
275,A550,Saint Paul School,Clark,,,3415.59,3592.54,3669.95,3928.31
276,C065,Saint Paul's Lutheran School,Lake,,,4263.72,4117.37,4143.52,4542.52
277,A040,Saint Peter Immanuel Lutheran School,Adams,,,1726.8,1062.5,1030.88,1265.28
278,A435,Saint Peter Lutheran School,Bartholomew,,,,,3398.69,3966.71
279,D375,Saint Peter Lutheran School,Starke,,,2198.64,2143.08,2382.1,3209.11
280,A250,Saint Peter's Lutheran School,Allen,,2090.26,2520.81,2607.81,2911.77,2962.58
281,C655,Saint Philip Neri School,Marion,4484.26,4489.34,4672.4,4784.87,5646.4,6035.72
282,D100,Saint Philip School,Posey,,,2134.13,2346.0,2390.21,2449.68
283,D164,Saint Pius X Catholic School,St Joseph,,3582.54,3561.1,3653.6,3561.77,3749.03
284,C450,Saint Pius X School,Marion,,,3288.14,3296.63,3287.29,3426.0
285,C310,Saint Roch School,Marion,3443.08,2975.66,3037.3,2882.01,2961.35,3048.4
286,B518,Saint Rose of Lima School,Johnson,,4066.91,4180.93,3560.22,3522.98,3835.27
287,C665,Saint Simon The Apostle School,Marion,,3535.78,3490.86,3252.45,3416.63,3519.22
288,C120,Saint Stanislaus Kostka School,LaPorte,2930.35,4304.21,4548.89,4525.55,4721.15,4797.2
289,B865,Saint Stanislaus School,Lake,4083.22,4351.79,4381.3,4494.11,4442.13,4653.29
290,B300,Saint Susanna School,Hendricks,,3676.87,3287.38,3487.22,3529.56,3659.93
291,D615,Saint Theresa School,Vanderburgh,4500.0,4500.0,4609.85,4218.92,,
292,C670,Saint Therese Little Flower School,Marion,3623.96,4439.65,4439.18,4350.85,4827.53,5073.38
293,A175,Saint Therese School,Allen,4252.79,3649.86,3352.26,3343.59,3595.38,3642.45
294,C675,Saint Thomas Aquinas School,Marion,,,4634.62,4399.43,4712.03,4898.68
295,C060,Saint Thomas More School,Lake,,3904.55,3943.3,4059.51,4375.62,4400.77
296,A975,Saint Thomas The Apostle School,Elkhart,4090.5,3586.72,2956.97,2812.76,3032.61,3214.21
297,A180,Saint Vincent DePaul School,Allen,,3292.4,2756.97,2830.77,2934.48,3066.23
298,A980,Saint Vincent DePaul School,Elkhart,4436.37,4425.43,4371.21,4667.07,4652.8,4740.94
299,C160,Saint Vincent DePaul School,Lawrence,,3805.12,3604.5,3377.21,3454.15,3618.79
300,D105,Saint Wendel School,Posey,,,,2039.89,1897.33,1991.36
301,B540,Saints Francis and Clare Catholic School,Johnson,,3733.52,3783.8,3784.34,3748.68,3791.99
302,B395,Saints Joan of Arc & Patrick School,Howard,,2580.8,3430.12,3491.1,4241.87,4455.01
303,B125,Saints Peter & Paul School,Gibson,,,,,,
304,C710,Scecina Memorial School,Marion,5641.85,5661.99,5827.67,5667.97,5261.38,5442.46
305,D842,Seton Catholic High School,Wayne,,3945.96,4597.4,4436.68,4256.5,4409.02
306,B455,Seymour Christian Academy,Jackson,,,2507.68,2935.64,2930.99,3226.24
