School No.,School Name,County,2011,2012,2013,2014,2015,2016
C512,Our Shepherd Lutheran School,Hendricks,35959.28,71677.50,110742.29,161674.07,269212.81,217281.01
B167,Paddock View Residential Center,Grant,105963.34,131499.91,138191.73,,,
C899,Pinnacle School,Monroe,47870.46,132045.81,306545.04,413089.91,72350.38,
B510,Pope John XXIII School,Jefferson,7773.00,97411.60,277896.16,464790.01,524910.79,556820.18
D080,Portage Christian School,Porter,,,189701.41,830794.08,1107968.52,1293837.34
A870,Precious Blood School,Dubois,3264.00,12327.00,32592.08,67006.00,,
C791,Project Libertas,Marion,,,206448.61,261122.12,385269.48,347909.15
C623,Providence Cristo Rey High School,Marion,382859.33,614404.77,966075.85,1180966.85,1311249.27,1439213.55
C110,Queen Of All Saints School,LaPorte,147431.25,185138.16,331533.48,349564.93,317075.96,429179.00
A135,Queen Of Angels School,Allen,80763.41,267294.76,392750.91,456328.08,474607.13,489894.99
D198,Queen of Peace School,St Joseph,25030.51,76410.70,158896.91,247274.43,300612.12,299219.62
B367,Redeemer Lutheran School,Howard,3715.00,23621.52,39390.81,84836.15,176057.83,177131.46
D535,Reitz Memorial High School,Vanderburgh,60833.97,112643.20,216050.59,732273.30,769697.08,878972.18
D317,Resurrection Lutheran Academy,St Joseph,,,,,,80911.00
D610,Resurrection School,Vanderburgh,4040.00,18605.00,112028.00,212519.21,223964.83,269603.43
D860,Richmond Academy,Wayne,63500.00,78395.76,64882.93,133645.18,187783.69,175294.14
B560,Rivet Middle & High School,Knox,13536.29,17446.00,58248.18,145046.28,158462.69,157203.65
C320,Roncalli High School,Marion,96643.13,222216.92,578571.23,1292320.89,1532840.40,1553179.00
A470,Sacred Heart School,Benton,,16600.00,50800.00,76200.00,125293.00,134324.70
A570,Sacred Heart School,Clark,66697.06,152751.84,317230.53,367145.26,431391.41,393770.77
B605,Sacred Heart School,Kosciusko,27000.00,53312.63,98236.00,138211.20,170855.50,133899.11
D255,Saint Adalbert School,St Joseph,185012.00,381561.60,746913.28,914225.00,958161.05,1045750.42
A270,Saint Aloysius Catholic School,Allen,21285.44,56314.27,185814.77,164241.12,194735.29,169579.06
B440,Saint Ambrose School,Jackson,18467.94,26659.00,74668.54,172038.94,205986.52,236742.31
C205,Saint Ambrose School,Madison,38513.64,65658.18,114659.97,202036.30,204131.96,
C615,Saint Anthony Catholic School,Marion,,,,,1082225.94,1201088.96
D260,Saint Anthony De Padua School,St Joseph,139979.73,185689.16,360667.66,578633.72,590407.18,561955.40
A560,Saint Anthony School,Clark,36640.78,88352.04,287997.06,542862.95,649156.74,754121.01
B475,Saint Augustine School,Jasper,11820.00,38865.88,78776.02,89718.03,89144.78,88325.30
C295,Saint Barnabas School,Marion,26223.72,41893.72,73740.17,144536.82,203832.39,247753.92
A425,Saint Bartholomew School,Bartholomew,,25110.00,116600.74,265661.79,327102.92,429104.02
D590,Saint Benedict Cathedral School,Vanderburgh,16307.24,36567.50,203248.26,280335.19,261633.16,302603.01
D805,Saint Bernard Elementary School,Wabash,9000.00,34453.03,86248.96,101802.07,124130.32,213587.05
D370,Saint Bernard School,Spencer,53175.12,71606.24,112532.92,166252.47,184173.52,217906.61
D420,Saint Boniface School,Tippecanoe,31219.86,45240.84,150049.18,212291.78,203385.37,247520.43
C040,Saint Bridget School,Lake,6750.00,,,,,
B950,Saint Casimir School,Lake,135995.00,346806.57,771818.58,1153806.89,1239679.73,1344607.53
C900,Saint Charles Borromeo School,Monroe,,38022.58,74053.73,97169.60,129880.10,144132.04
A145,Saint Charles Borromeo School,Allen,94343.49,372874.25,974015.02,1323988.09,1535213.06,1572271.08
C795,Saint Christopher School,Marion,31285.00,77549.28,243903.02,375015.41,408602.76,387687.28
B800,Saint Edward School,Lake,2488.46,,,,,
D840,Saint Elizabeth Ann Seton School,Wayne,25999.00,198179.38,407473.94,491586.23,471509.87,575867.78
B035,Saint Gabriel Parochial School,Fayette,11682.00,34073.78,91289.67,198326.44,211550.00,250928.39
D435,Saint James Lutheran School,Tippecanoe,5067.86,35459.98,79905.30,157478.17,211341.34,190563.34
B120,Saint James School,Gibson,,5813.00,39487.50,92554.92,122177.62,142157.47
C645,Saint Joan Of Arc School,Marion,155713.77,282389.95,446587.48,598595.24,656218.39,750810.81
B960,Saint John Bosco School,Lake,157921.77,356552.24,573625.28,685923.47,702005.91,735121.03
A695,Saint John Evangelical Lutheran School,Dearborn,,,,,,54902.89
C400,Saint John Evangelical Lutheran School,Marion,35990.64,44318.07,76813.92,144194.30,202454.17,204510.32
B020,Saint John Evangelist School,Elkhart,34464.59,48088.54,108701.73,204402.80,203687.18,278373.22
B780,Saint John Evangelist School,Lake,,18667.71,36459.41,99607.10,110702.87,111542.65
B275,Saint John Lutheran School,Harrison,,,24394.00,63694.52,84053.26,75772.13
B450,Saint John Lutheran School,Jackson,,,,,10400.00,
C150,Saint John Lutheran School,LaPorte,13100.00,30736.00,57221.00,115844.52,174505.34,191336.25
C985,Saint John Lutheran School,Noble,25384.53,80708.84,157205.82,220282.30,246979.23,248686.59
A355,Saint John The Baptist Catholic School,Allen,21476.70,121745.14,435666.85,300650.00,450010.72,358389.38
A150,Saint John The Baptist School,Allen,90000.00,196643.75,499540.79,523087.29,639207.92,669401.69
