School No.,School Name,County,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
B800,Saint Edward School,Lake,"$2,488.46",#N/A,-,-,-,-
D840,Saint Elizabeth Ann Seton School,Wayne,"$25,999.00","$198,179.38","$407,473.94","$491,586.23","$471,509.87","$575,867.78"
B035,Saint Gabriel Parochial School,Fayette,"$11,682.00","$34,073.78","$91,289.67","$198,326.44","$211,550.00","$250,928.39"
D435,Saint James Lutheran School,Tippecanoe,"$5,067.86","$35,459.98","$79,905.30","$157,478.17","$211,341.34","$190,563.34"
B120,Saint James School,Gibson,#N/A,"$5,813.00","$39,487.50","$92,554.92","$122,177.62","$142,157.47"
C645,Saint Joan Of Arc School,Marion,"$155,713.77","$282,389.95","$446,587.48","$598,595.24","$656,218.39","$750,810.81"
B960,Saint John Bosco School,Lake,"$157,921.77","$356,552.24","$573,625.28","$685,923.47","$702,005.91","$735,121.03"
A695,Saint John Evangelical Lutheran School,Dearborn,#N/A,#N/A,#N/A,-,-,"$54,902.89"
C400,Saint John Evangelical Lutheran School,Marion,"$35,990.64","$44,318.07","$76,813.92","$144,194.30","$202,454.17","$204,510.32"
B020,Saint John Evangelist School,Elkhart,"$34,464.59","$48,088.54","$108,701.73","$204,402.80","$203,687.18","$278,373.22"
B780,Saint John Evangelist School,Lake,#N/A,"$18,667.71","$36,459.41","$99,607.10","$110,702.87","$111,542.65"
B275,Saint John Lutheran School,Harrison,#N/A,#N/A,"$24,394.00","$63,694.52","$84,053.26","$75,772.13"
B450,Saint John Lutheran School,Jackson,#N/A,#N/A,-,-,"$10,400.00",*
C150,Saint John Lutheran School,LaPorte,"$13,100.00","$30,736.00","$57,221.00","$115,844.52","$174,505.34","$191,336.25"
C985,Saint John Lutheran School,Noble,"$25,384.53","$80,708.84","$157,205.82","$220,282.30","$246,979.23","$248,686.59"
A355,Saint John The Baptist Catholic School,Allen,"$21,476.70","$121,745.14","$435,666.85","$300,650.00","$450,010.72","$358,389.38"
A150,Saint John The Baptist School,Allen,"$90,000.00","$196,643.75","$499,540.79","$523,087.29","$639,207.92","$669,401.69"
B965,Saint John The Baptist School,Lake,"$48,925.62","$77,651.47","$283,467.46","$280,337.79","$323,162.11","$420,551.12"
D265,Saint John The Baptist School,St Joseph,"$120,143.06","$225,421.20","$318,617.46","$271,125.00","$302,798.33","$318,474.63"
D465,Saint John The Baptist School,Tippecanoe,"$16,232.95","$32,991.01","$62,329.88",-,-,-
D815,Saint John The Baptist School,Warrick,"$4,398.31","$34,876.22","$103,485.12","$203,626.08","$225,003.13","$282,202.01"
A365,Saint John-Emmanuel Lutheran School,Allen,#N/A,#N/A,*,"$153,876.33","$177,291.75","$202,521.96"
A340,Saint Joseph Catholic School,Allen,"$54,000.00","$24,055.69","$70,108.01","$154,797.19","$173,839.79","$180,088.88"
A350,Saint Joseph Hessen Cassel Catholic School,Allen,"$22,500.00","$47,477.15","$79,478.86","$155,554.53","$157,881.40","$163,453.46"
A035,Saint Joseph School,Adams,"$38,741.46","$116,414.88","$389,397.67","$592,754.71","$564,856.35","$541,594.74"
A735,Saint Joseph School,Dekalb,"$22,500.00","$43,845.34","$88,701.30","$118,550.90","$132,003.39","$113,810.01"
B105,Saint Joseph School,Gibson,"$7,458.00","$16,918.93","$75,465.12","$155,459.62","$138,560.37","$178,048.97"
